variable,N,Mean,SD,Min,Q1,Median,Q3,Max
afinn_score,82,-87310.46341463417,108286.9608554671,-652923,-73663.5,-54160.5,-34632.5,-22462
avg_score,82,8.635864874010947,3.604430349649181,4.450255756074989,5.567969642090164,8.053502020469963,10.251417849504472,21.85220031063209
bing_net,82,-44757.24390243903,55321.54977176303,-288885,-42564.5,-27380,-15889.75,-10910
emoji_score,82,116372.19512195123,218950.05774802325,7711,20629.75,36107.5,93999.5,1223531
gme_abnormal_volume,82,3.0421337101788906,3.459735123413959,0.4109787082805215,0.7621060277334525,1.9917743686303095,3.7958002608480577,16.331290752655494
gme_close,82,22.494634261945393,21.630185678276238,3.180000066757202,4.736250042915344,12.477499961853027,36.35499954223633,86.87750244140625
gme_return,82,0.062416414493494825,0.2833444153797797,-0.6,-0.0428496120554307,0.0010794957013560147,0.07312851678825427,1.3483580199952216
gme_volume,82,146903439.02439025,167069246.8389552,19846000,36801800,96182000,183297700,788631600
n_authors,82,35972.707317073175,35086.13849662907,10386,13390.75,25342.5,36076.5,180796
n_comments,82,147424.243902439,141609.01786034633,48161,65710,107469,142296.25,752598
nrc_net,82,6694.68292682927,9830.3549988999,-5169,374.75,4037,8878,56336
wsb_score,82,53949.84146341464,65952.2321582338,12514,18335.25,31314.5,46861,320521
